Location;long;lat;island
Palma de Mallorca;2.645242706;39.56663844;Mallorca
Sa Calobra;2.799548102;39.85046712;Mallorca
Cala d'Or;3.227696609;39.37371184;Mallorca
Inca;2.905843916;39.71874459;Mallorca
Alcudia;3.120326;39.853871;Mallorca
Cala Ratjada;3.459348459;39.71286783;Mallorca
Ciutadella de Menorca;3.840318;40.001526;Menorca
Maó;4.260983258;39.89002993;Menorca
Fornells;4.131000964;40.05851558;Menorca
Es Mercadal;4.092842803;39.98652243;Menorca
Sant Elm;2.349460536;39.58207364;Mallorca
Castell de Cabrera;2.932117477;39.1525441;Cabrera
